expression,value,frequency
64080*0,0,56710719
-30520*0,0,55378016
-7897*0,0,54672751
23985*0,0,54322910
51683*0,0,54135482
63149*0,0,28507185
62131*0,0,28049539
31444*0,0,27746947
41328*0,0,27625719
47591*0,0,27588842
9392*0,0,27395754
-8262*0,0,27201311
-2664*0,0,27127490
-30520*6,-183120,13751750
64080*9,576720,13624688
64080*6,384480,13045830
-30520*4,-122080,13036340
-7897*8,-63176,11026260
-7897*12,-94764,10977980
23985*12,287820,10505223
51683*20,1033660,10176972
23985*18,431730,10086328
51683*30,1550490,9576739
-30520*8,-244160,9191916
-30520*2,-61040,8268897
64080*12,768960,8268740
64080*3,192240,7436448
-30520*7,-213640,6869933
62131*10,621310,6665973
62131*15,931965,6621282
63149*15,947235,6503767
-7897*4,-31588,6455366
-30520*10,-305200,6451690
-30520*5,-152600,6410086
-7897*16,-126352,6191613
63149*10,631490,6189357
31444*12,377328,6074264
31444*8,251552,6020136
23985*6,143910,5992717
-30520*9,-274680,5983836
9392*8,75136,5808995
9392*12,112704,5792880
51683*10,516830,5789356
47591*12,571092,5751687
47591*18,856638,5611008
-8262*12,-99144,5485329
41328*20,826560,5409320
41328*30,1239840,5265145
64080*15,961200,5246129
-8262*18,-148716,5240836
23985*24,575640,5228466
-2664*20,-53280,5176443
-2664*30,-79920,5014806
-30520*11,-335720,4913043
-30520*12,-366240,4699094
51683*40,2067320,4618159
-30520*3,-91560,4129526
-30520*13,-396760,4073820
62131*5,310655,3861809
-30520*14,-427280,3858622
63149*20,1262980,3841400
64080*11,704880,3789222
-30520*1,-30520,3767782
62131*20,1242620,3765450
64080*10,640800,3732439
-7897*20,-157940,3730556
64080*18,1153440,3674304
-7897*14,-110558,3654605
64080*14,897120,3652775
64080*13,833040,3645580
9392*4,37568,3627975
63149*5,315745,3573283
31444*16,503104,3483159
31444*4,125776,3456950
-7897*10,-78970,3436203
-8262*6,-49572,3427590
9392*16,150272,3373054
64080*8,512640,3277195
47591*6,285546,3270595
-30520*15,-457800,3246236
64080*16,1025280,3229401
-30520*16,-488320,3224143
-7897*18,-142146,3170494
-7897*15,-118455,3156757
41328*10,413280,3128049
64080*17,1089360,3105490
-7897*13,-102661,3035850
-2664*10,-26640,3014324
-7897*17,-134249,3013848
64080*21,1345680,3000651
47591*24,1142184,2973158
64080*7,448560,2955997
-7897*11,-86867,2908663
23985*30,719550,2863292
-8262*24,-198288,2790778
-7897*19,-150043,2780998
64080*19,1217520,2693890
64080*20,1281600,2644753
41328*40,1653120,2641699
-7897*21,-165837,2631065
-7897*22,-173734,2578905
-2664*40,-106560,2574752
-30520*17,-518840,2517342
-7897*24,-189528,2516731
64080*24,1537920,2476981
-30520*18,-549360,2470624
-30520*20,-610400,2432646
23985*23,551655,2349625
64080*1,64080,2335073
23985*17,407745,2325223
-7897*23,-181631,2313120
51683*50,2584150,2284915
-7897*9,-71073,2284204
63149*25,1578725,2280402
23985*19,455715,2265904
64080*22,1409760,2211424
9392*14,131488,2199120
-7897*25,-197425,2197120
23985*25,599625,2196270
23985*22,527670,2188194
62131*25,1553275,2187468
-7897*6,-47382,2185661
9392*10,93920,2164399
23985*20,479700,2162832
-7897*26,-205322,2136507
64080*30,1922400,2124170
64080*23,1473840,2119187
-7897*28,-221116,2104151
31444*20,628880,2084398
31444*14,440216,2081761
-7897*1,-7897,2075670
23985*16,383760,2069182
9392*20,187840,2044846
64080*5,320400,2014966
64080*4,256320,2000055
23985*26,623610,1993759
-7897*27,-213219,1992888
64080*27,1730160,1990597
23985*29,695565,1986650
-7897*2,-15794,1960488
31444*10,314440,1935561
23985*28,671580,1933836
51683*28,1447124,1929604
23985*1,23985,1917145
23985*31,743535,1871752
64080*2,128160,1859467
-30520*19,-579880,1855366
51683*32,1653856,1836640
-7897*32,-252704,1828646
51683*38,1963954,1817027
23985*36,863460,1810850
23985*27,647595,1807372
9392*18,169056,1806862
23985*21,503685,1798302
31444*18,565992,1795005
-7897*7,-55279,1775568
23985*14,335790,1772985
-7897*29,-229013,1771746
51683*36,1860588,1761290
64080*25,1602000,1752274
51683*34,1757222,1732596
23985*13,311805,1723606
51683*26,1343758,1715729
-7897*30,-236910,1713821
-30520*32,-976640,1691529
-30520*137,-4181240,1678084
-30520*136,-4150720,1677643
-30520*138,-4211760,1674585
-30520*134,-4089680,1673922
-30520*135,-4120200,1673375
-30520*139,-4242280,1673036
-30520*140,-4272800,1670636
23985*32,767520,1663348
-30520*141,-4303320,1662622
-7897*40,-315880,1661542
-30520*133,-4059160,1661399
-30520*142,-4333840,1658075
51683*2,103366,1657409
-30520*132,-4028640,1654277
-30520*131,-3998120,1647630
-30520*143,-4364360,1646781
23985*34,815490,1644079
-30520*130,-3967600,1642824
47591*30,1427730,1641299
51683*24,1240392,1637480
-30520*129,-3937080,1633443
-30520*144,-4394880,1633347
64080*26,1666080,1628648
-30520*128,-3906560,1625434
51683*42,2170686,1624474
-30520*145,-4425400,1616081
-30520*127,-3876040,1615894
23985*33,791505,1615086
-30520*22,-671440,1614461
-30520*126,-3845520,1607318
-30520*146,-4455920,1602677
-30520*125,-3815000,1599584
-7897*3,-23691,1595348
-30520*124,-3784480,1592384
64080*48,3075840,1583738
23985*35,839475,1583334
-30520*147,-4486440,1581526
-30520*123,-3753960,1572735
-7897*31,-244807,1566856
-30520*122,-3723440,1562757
-30520*148,-4516960,1562332
-7897*5,-39485,1549406
-30520*121,-3692920,1547309
-8262*30,-247860,1547061
-30520*149,-4547480,1545377
-30520*120,-3662400,1537030
-30520*150,-4578000,1528616
23985*37,887445,1523892
23985*42,1007370,1521454
-30520*119,-3631880,1519898
-30520*151,-4608520,1509749
-30520*118,-3601360,1506055
-8262*15,-123930,1494163
-30520*152,-4639040,1492355
-30520*117,-3570840,1488017
51683*44,2274052,1477453
-30520*116,-3540320,1477144
51683*22,1137026,1471982
-30520*153,-4669560,1468506
-30520*21,-640920,1459145
-7897*36,-284292,1457294
-30520*115,-3509800,1456624
-30520*154,-4700080,1452545
-30520*114,-3479280,1441253
63149*30,1894470,1440623
51683*48,2480784,1438844
23985*38,911430,1434656
51683*46,2377418,1426876
-30520*155,-4730600,1426186
-8262*21,-173502,1424650
31444*22,691768,1424222
-30520*113,-3448760,1419969
23985*39,935415,1415743
23985*60,1439100,1415139
23985*11,263835,1407798
9392*22,206624,1407547
-30520*156,-4761120,1404200
23985*40,959400,1401772
-30520*112,-3418240,1401350
23985*2,47970,1398960
-30520*157,-4791640,1383436
-7897*33,-260601,1383103
-30520*111,-3387720,1376300
31444*24,754656,1374319
9392*6,56352,1373354
62131*30,1863930,1373038
-30520*158,-4822160,1364622
64080*33,2114640,1361578
-7897*64,-505408,1360209
-30520*110,-3357200,1359064
23985*48,1151280,1358267
-2664*50,-133200,1358221
23985*41,983385,1354168
9392*24,225408,1353452
-30520*159,-4852680,1339705
-30520*109,-3326680,1335644
9392*2,18784,1324253
-30520*160,-4883200,1320143
41328*50,2066400,1319238
64080*28,1794240,1319145
-30520*108,-3296160,1317265
31444*6,188664,1316813
23985*15,359775,1315816
-7897*34,-268498,1314378
51683*52,2687516,1299993
-30520*161,-4913720,1298035
-30520*107,-3265640,1293930
47591*21,999411,1289550
51683*60,3100980,1277007
-30520*162,-4944240,1273601
-30520*106,-3235120,1272186
23985*10,239850,1270186
51683*18,930294,1263405
-30520*105,-3204600,1252807
23985*96,2302560,1252501
-30520*163,-4974760,1250840
47591*15,713865,1249432
23985*43,1031355,1243522
9392*17,159664,1239595
9392*15,140880,1235749
-30520*164,-5005280,1233383
-30520*104,-3174080,1230855
31444*15,471660,1229841
31444*17,534548,1224471
64080*29,1858320,1216053
-30520*165,-5035800,1210294
-30520*103,-3143560,1204822
51683*100,5168300,1203474
31444*2,62888,1193766
9392*19,178448,1189269
-30520*102,-3113040,1187405
-30520*166,-5066320,1186190
23985*7,167895,1183694
31444*19,597436,1182415
23985*44,1055340,1174652
-7897*35,-276395,1173744
23985*8,191880,1172552
9392*13,122096,1172402
-8262*27,-223074,1171361
-30520*24,-732480,1170608
-30520*167,-5096840,1163087
47591*27,1284957,1161676
-30520*101,-3082520,1159540
51683*56,2894248,1156701
31444*13,408772,1154632
-30520*23,-701960,1154619
51683*160,8269280,1151702
9392*21,197232,1151251
51683*54,2790882,1148482
31444*21,660324,1147442
-30520*100,-3052000,1146383
-30520*168,-5127360,1141043
31444*26,817544,1140688
23985*45,1079325,1138104
51683*4,206732,1124891
9392*26,244192,1123418
-30520*99,-3021480,1122361
31444*28,880432,1121322
-30520*26,-793520,1121049
-8262*3,-24786,1118782
-30520*169,-5157880,1117847
23985*54,1295190,1116766
63149*35,2210215,1113150
-30520*98,-2990960,1104928
-30520*170,-5188400,1100168
64080*207,13264560,1099350
64080*204,13072320,1098194
9392*28,262976,1096853
64080*210,13456800,1095159
51683*12,620196,1093700
64080*201,12880080,1091152
-30520*97,-2960440,1090079
64080*213,13649040,1086426
23985*46,1103310,1086068
51683*6,310098,1083189
64080*198,12687840,1081036
64080*206,13200480,1078422
-30520*171,-5218920,1077919
64080*203,13008240,1077292
64080*205,13136400,1076269
64080*208,13328640,1075546
64080*202,12944160,1073337
64080*209,13392720,1072658
64080*216,13841280,1071617
-30520*96,-2929920,1071331
64080*195,12495600,1070681
62131*35,2174585,1070184
64080*211,13520880,1068562
64080*200,12816000,1067819
64080*212,13584960,1066543
64080*199,12751920,1065638
51683*58,2997614,1060658
23985*47,1127295,1060170
64080*214,13713120,1059225
-30520*172,-5249440,1058191
51683*16,826928,1057772
64080*192,12303360,1057358
31444*11,345884,1056333
64080*197,12623760,1055545
64080*219,14033520,1055387
23985*4,95940,1055380
64080*215,13777200,1054930
9392*11,103312,1054659
64080*196,12559680,1053069
23985*5,119925,1049581
63149*18,1136682,1049015
-30520*95,-2899400,1048810
64080*217,13905360,1046871
9392*23,216016,1045723
64080*194,12431520,1045208
64080*189,12111120,1044727
51683*70,3617810,1043477
64080*193,12367440,1042673
31444*23,723212,1042535
62131*19,1180489,1041401
62131*18,1118358,1039931
64080*218,13969440,1038987
-30520*173,-5279960,1036780
64080*191,12239280,1034157
-30520*94,-2868880,1033052
64080*190,12175200,1030505
64080*222,14225760,1028945
64080*186,11918880,1028923
63149*23,1452427,1023598
64080*220,14097600,1023114
-30520*56,-1709120,1022050
64080*31,1986480,1021206
64080*188,12047040,1019482
-30520*174,-5310480,1018823
64080*221,14161680,1018292
62131*21,1304751,1016513
64080*187,11982960,1016380
-30520*93,-2838360,1014676
63149*19,1199831,1014490
64080*183,11726640,1013405
47591*36,1713276,1012554
-7897*44,-347468,1012318
64080*225,14418000,1008289
51683*14,723562,1005453
-30520*175,-5341000,1004746
64080*223,14289840,1003768
64080*185,11854800,1003433
51683*62,3204346,1002610
62131*23,1429013,1002169
63149*17,1073533,1001634
-30520*92,-2807840,1001417
23985*3,71955,1001187
62131*17,1056227,1000454
62131*22,1366882,999088
64080*184,11790720,998719
62131*24,1491144,998619
-7897*37,-292189,998359
51683*80,4134640,997860
64080*224,14353920,997080
31444*25,786100,996323
9392*25,234800,994369
64080*180,11534400,993915
-30520*36,-1098720,993603
63149*22,1389278,993383
-30520*176,-5371520,986576
62131*16,994096,986355
-8262*9,-74358,985471
64080*182,11662560,985328
-30520*91,-2777320,984399
-30520*25,-763000,983393
64080*228,14610240,981825
64080*181,11598480,980141
64080*226,14482080,979695
23985*49,1175265,977841
47591*3,142773,976978
-30520*90,-2746800,976372
64080*177,11342160,975107
-8262*23,-190026,973362
64080*36,2306880,972699
64080*227,14546160,972660
64080*32,2050560,971681
-30520*177,-5402040,971423
-8262*36,-297432,968647
63149*21,1326129,966002
64080*179,11470320,965916
64080*178,11406240,963582
51683*64,3307712,959290
-30520*89,-2716280,956935
-30520*178,-5432560,956298
63149*24,1515576,954987
31444*32,1006208,954971
64080*174,11149920,953027
64080*229,14674320,952601
47591*33,1570503,951570
47591*23,1094593,951509
64080*231,14802480,950832
-8262*25,-206550,950474
-7897*38,-300086,950343
62131*26,1615406,949932
64080*176,11278080,947775
-2664*35,-93240,947677
64080*230,14738400,945047
51683*8,413464,945001
-30520*82,-2502640,944172
-30520*88,-2685760,943785
64080*39,2499120,943093
64080*175,11214000,941915
9392*32,300544,940275
-30520*179,-5463080,938767
51683*43,2222369,938596
-8262*33,-272646,937909
-8262*22,-181764,934966
51683*41,2119003,928419
64080*232,14866560,927646
-30520*87,-2655240,927553
23985*50,1199250,927522
63149*40,2525960,927385
64080*171,10957680,927224
64080*234,14994720,926256
64080*173,11085840,926013
-30520*180,-5493600,923229
-2664*25,-66600,923025
64080*172,11021760,919682
47591*25,1189775,919559
-8262*20,-165240,919461
51683*66,3411078,919296
-30520*86,-2624720,918762
-8262*26,-214812,918094
31444*27,848988,917455
9392*27,253584,917399
63149*28,1768172,917120
-8262*19,-156978,916873
-30520*28,-854560,916468
64080*233,14930640,915958
62131*14,869834,915173
47591*9,428319,913723
63149*16,1010384,911938
51683*39,2015637,909611
47591*22,1047002,909333
-30520*181,-5524120,908690
51683*47,2429101,907882
-30520*85,-2594200,907714
63149*26,1641874,904938
64080*168,10765440,902278
64080*170,10893600,902091
62131*28,1739668,900138
64080*235,15058800,898832
-30520*84,-2563680,898171
64080*237,15186960,897490
47591*19,904229,896554
62131*27,1677537,896330
47591*20,951820,895856
-30520*182,-5554640,894848
64080*169,10829520,893152
63149*13,820937,892860
64080*236,15122880,891772
63149*27,1705023,891669
62131*40,2485240,891164
51683*53,2739199,891045
31444*30,943320,889892
-30520*83,-2533160,889635
51683*68,3514444,889498
47591*26,1237366,888562
-8262*29,-239598,888211
63149*14,884086,887848
-30520*60,-1831200,887554
51683*45,2325735,887203
51683*49,2532467,883082
-30520*78,-2380560,882830
51683*51,2635833,880189
9392*30,281760,880085
-30520*183,-5585160,879632
-30520*81,-2472120,879084
-30520*80,-2441600,873771
64080*167,10701360,873491
-8262*17,-140454,873045
64080*165,10573200,872564
64080*238,15251040,872225
31444*40,1257760,871148
-30520*184,-5615680,870068
-8262*28,-231336,868998
47591*29,1380139,868170
64080*240,15379200,867320
51683*37,1912271,865468
64080*166,10637280,864109
64080*239,15315120,863442
-7897*39,-307983,863349
-30520*27,-824040,860510
63149*50,3157450,859858
64080*84,5382720,859424
23985*51,1223235,858465
63149*12,757788,856610
47591*28,1332548,856488
47591*17,809047,855716
64080*54,3460320,854990
41328*35,1446480,854365
-30520*185,-5646200,852242
-30520*79,-2411080,851019
62131*50,3106550,850723
-8262*31,-256122,850291
64080*164,10509120,846386
64080*162,10380960,845641
64080*241,15443280,843683
-30520*186,-5676720,843093
9392*40,375680,843079
23985*52,1247220,841883
51683*55,2842565,841217
-30520*76,-2319520,840888
51683*57,2945931,840524
64080*243,15571440,838430
62131*29,1801799,838011
64080*163,10445040,837989
-7897*272,-2147984,835803
47591*31,1475321,835706
-7897*276,-2179572,834907
51683*90,4651470,834903
-7897*274,-2163778,834473
63149*29,1831321,833668
64080*242,15507360,833439
-7897*270,-2132190,832976
-7897*271,-2140087,832722
-7897*273,-2155881,832663
-7897*275,-2171675,832106
-7897*278,-2195366,832012
-7897*277,-2187469,831968
-7897*268,-2116396,831681
-7897*279,-2203263,831189
-7897*269,-2124293,830880
-7897*280,-2211160,830759
31444*29,911876,829649
-30520*187,-5707240,829411
-7897*281,-2219057,829275
-7897*282,-2226954,828651
-7897*266,-2100602,827560
-7897*284,-2242748,826017
-7897*267,-2108499,825930
-30520*77,-2350040,825733
9392*29,272368,825715
47591*42,1998822,824550
-7897*283,-2234851,822531
-7897*264,-2084808,822258
-7897*265,-2092705,821557
-7897*286,-2258542,819841
-7897*263,-2076911,819622
-7897*285,-2250645,819101
-30520*188,-5737760,818024
-7897*262,-2069014,817958
64080*159,10188720,817477
64080*161,10316880,817186
64080*34,2178720,816962
64080*244,15635520,816229
-7897*288,-2274336,815343
-7897*260,-2053220,814508
-7897*287,-2266439,814341
64080*246,15763680,813833
-7897*261,-2061117,813548
23985*66,1583010,811929
-7897*259,-2045323,810825
-7897*258,-2037426,809941
64080*160,10252800,809532
51683*31,1602173,809450
51683*35,1808905,809149
-30520*189,-5768280,808884
-7897*256,-2021632,808146
-7897*289,-2282233,808108
62131*12,745572,807701
51683*59,3049297,807533
-7897*257,-2029529,806979
64080*245,15699600,805989
-7897*290,-2290130,805676
63149*31,1957619,802953
-7897*254,-2005838,802116
51683*72,3721176,801554
-30520*190,-5798800,801448
-7897*255,-2013735,801177
-7897*291,-2298027,800526
-7897*292,-2305924,799540
51683*33,1705539,799329
9392*9,84528,799218
31444*9,282996,798039
-7897*253,-1997941,797805
51683*61,3152663,797545
-7897*252,-1990044,797485
62131*31,1926061,796869
51683*63,3256029,795618
-7897*251,-1982147,795235
23985*53,1271205,793232
-7897*250,-1974250,792769
63149*32,2020768,792369
-7897*293,-2313821,791831
-30520*191,-5829320,791779
-8262*42,-347004,790982
64080*158,10124640,790804
62131*32,1988192,790287
64080*247,15827760,789735
-30520*75,-2289000,789568
-7897*248,-1958456,788925
-7897*249,-1966353,788710
-7897*294,-2321718,788248
64080*156,9996480,787983
62131*13,807703,787842
-8262*32,-264384,785844
23985*9,215865,785738
-30520*40,-1220800,785708
63149*33,2083917,784506
-30520*192,-5859840,784381
64080*249,15955920,784286
-7897*247,-1950559,783152
-7897*295,-2329615,781471
64080*157,10060560,781429
64080*248,15891840,781405
-7897*246,-1942662,779854
-7897*296,-2337512,779440
41328*45,1859760,777957
47591*39,1856049,776957
-30520*74,-2258480,776109
-7897*245,-1934765,774356
-7897*244,-1926868,774335
-30520*193,-5890360,774121
-8262*39,-322218,773298
-7897*297,-2345409,773214
-7897*298,-2353306,771358
-8262*16,-132192,770814
47591*32,1522912,770063
62131*33,2050323,769644
-30520*29,-885080,769137
51683*29,1498807,768379
-7897*243,-1918971,768052
-7897*242,-1911074,767106
-30520*30,-915600,766357
-7897*299,-2361203,765635
-30520*194,-5920880,764963
31444*36,1131984,764592
-7897*300,-2369100,763437
47591*34,1618094,762671
64080*35,2242800,762297
51683*65,3359395,762285
-7897*241,-1903177,762234
64080*155,9932400,762121
-8262*34,-280908,761607
-7897*240,-1895280,761549
64080*250,16020000,761149
64080*153,9804240,760010
-7897*41,-323777,759630
-30520*195,-5951400,759370
-7897*301,-2376997,755263
-30520*31,-946120,755146
-7897*239,-1887383,755144
64080*154,9868320,754540
-30520*196,-5981920,753723
64080*252,16148160,752105
-7897*302,-2384894,751974
-7897*238,-1879486,751748
63149*45,2841705,751718
47591*16,761456,750824
64080*251,16084080,750162
51683*67,3462761,749422
-7897*236,-1863692,748945
47591*60,2855460,748796
-30520*73,-2227960,747770
-7897*237,-1871589,746727
-30520*197,-6012440,746716
-30520*62,-1892240,745981
-7897*303,-2392791,745472
-7897*235,-1855795,742014
31444*31,974764,741970
-2664*45,-119880,741520
-7897*304,-2400688,741423
-30520*38,-1159760,741283
41328*60,2479680,741048
9392*36,338112,740997
-30520*198,-6042960,740077
-7897*42,-331674,739620
9392*31,291152,739385
-8262*35,-289170,738936
-30520*72,-2197440,738525
-7897*234,-1847898,738459
63149*34,2147066,737935
51683*74,3824542,737411
64080*152,9740160,736077
-30520*199,-6073480,735516
-7897*305,-2408585,735384
-7897*233,-1840001,732156
64080*150,9612000,731746
-7897*232,-1832104,731521
64080*253,16212240,730821
-30520*200,-6104000,730168
-7897*306,-2416482,730141
-30520*71,-2166920,729969
-2664*60,-159840,729858
62131*1,62131,729514
47591*35,1665685,729507
-30520*64,-1953280,729004
-7897*230,-1816310,727087
-7897*231,-1824207,726981
-30520*201,-6134520,726586
-7897*307,-2424379,725290
64080*151,9676080,724571
62131*34,2112454,724479
47591*48,2284368,724425
-30520*70,-2136400,724036
64080*255,16340400,722938
64080*42,2691360,722150
62131*45,2795895,722029
-7897*112,-884464,720377
-30520*202,-6165040,719601
-30520*69,-2105880,719373
-7897*308,-2432276,719361
64080*254,16276320,718654
-7897*229,-1808413,718110
-7897*228,-1800516,717916
-8262*60,-495720,717254
23985*55,1319175,716485
64080*90,5767200,715657
-7897*309,-2440173,714094
63149*11,694639,713060
-30520*203,-6195560,712985
51683*69,3566127,711741
31444*1,31444,711055
-30520*68,-2075360,710554
-7897*310,-2448070,708140
64080*149,9547920,706934
-30520*204,-6226080,706604
-7897*227,-1792619,706404
-30520*63,-1922760,706076
-8262*37,-305694,705373
64080*147,9419760,705294
51683*76,3927908,704830
-7897*226,-1784722,704168
-30520*67,-2044840,703751
31444*64,2012416,703706
-30520*65,-1983800,703693
-8262*48,-396576,703583
9392*1,9392,703187
47591*37,1760867,702659
-30520*66,-2014320,702375
-7897*311,-2455967,700984
64080*256,16404480,700092
-7897*312,-2463864,699803
62131*80,4970480,699300
-30520*205,-6256600,699226
64080*148,9483840,698934
64080*258,16532640,697101
-7897*225,-1776825,696165
63149*80,5051920,694908
-7897*48,-379056,694171
-7897*72,-568584,693939
-7897*224,-1768928,692983
41328*38,1570464,691611
-30520*34,-1037680,691407
-7897*313,-2471761,691290
-30520*206,-6287120,691172
64080*257,16468560,690628
-30520*58,-1770160,690616
64080*37,2370960,690288
-7897*314,-2479658,689886
-30520*33,-1007160,687288
51683*71,3669493,686992
41328*25,1033200,686950
-30520*39,-1190280,686892
-30520*61,-1861720,685747
-30520*207,-6317640,685123
9392*64,601088,685048
-7897*316,-2495452,684859
-7897*52,-410644,684653
-7897*223,-1761031,683777
41328*36,1487808,682978
64080*146,9355680,682851
63149*36,2273364,681554
64080*144,9227520,680835
-7897*315,-2487555,680602
51683*78,4031274,680500
-7897*222,-1753134,679837
31444*34,1069096,678613
-8262*38,-313956,678572
-30520*208,-6348160,677466
41328*28,1157184,677229
64080*145,9291600,677151
9392*34,319328,677119
-30520*46,-1403920,676651
-7897*221,-1745237,673068
64080*259,16596720,672948
-7897*317,-2503349,671242
47591*38,1808458,670421
-30520*42,-1281840,670418
-7897*220,-1737340,669748
-30520*209,-6378680,669571
-2664*38,-101232,669428
64080*261,16724880,669265
51683*73,3772859,669052
62131*36,2236716,668916
-7897*318,-2511246,666455
64080*260,16660800,666188
64080*38,2435040,665891
-7897*219,-1729443,665037
23985*56,1343160,661860
-7897*43,-339571,661497
41328*32,1322496,661443
-7897*218,-1721546,661327
-8262*1,-8262,660720
64080*143,9163440,660176
64080*141,9035280,659547
-7897*319,-2519143,659540
-30520*210,-6409200,658223
41328*34,1405152,657914
41328*26,1074528,657464
-7897*320,-2527040,657389
31444*33,1037652,656248
62131*11,683441,655662
47591*1,47591,655638
51683*110,5685130,655372
64080*142,9099360,655264
-7897*217,-1713649,652641
64080*60,3844800,652433
47591*40,1903640,652100
-2664*36,-95904,651500
63149*37,2336513,651021
64080*264,16917120,651013
-8262*40,-330480,650741
-30520*211,-6439720,650295
-30520*41,-1251320,650100
-7897*216,-1705752,650059
-30520*59,-1800680,650034
9392*33,309936,649918
-7897*321,-2534937,649611
64080*262,16788960,649327
47591*96,4568736,648840
-2664*28,-74592,645332
64080*123,7881840,645090
-30520*49,-1495480,644598
-7897*322,-2542834,643273
64080*263,16853040,642959
62131*37,2298847,642480
-30520*212,-6470240,642008
-7897*215,-1697855,641810
-7897*214,-1689958,640293
-30520*50,-1526000,640027
64080*140,8971200,638943
63149*38,2399662,638618
64080*138,8843040,638488
41328*42,1735776,638282
47591*14,666274,637681
-7897*323,-2550731,637509
-2664*32,-85248,636335
-2664*34,-90576,634988
41328*100,4132800,634958
-30520*35,-1068200,634885
64080*139,8907120,634032
-7897*324,-2558628,634028
-30520*213,-6500760,633658
-30520*44,-1342880,632077
51683*75,3876225,631856
-8262*41,-338742,631686
47591*41,1951231,631268
-7897*213,-1682061,630350
-8262*14,-115668,630204
64080*265,16981200,629108
-8262*96,-793152,629029
-7897*212,-1674164,628973
-30520*214,-6531280,628291
51683*27,1395441,627372
-7897*325,-2566525,627083
64080*135,8650800,627031
64080*267,17109360,626913
-30520*37,-1129240,623118
64080*266,17045280,622284
41328*55,2273040,621680
-7897*211,-1666267,621170
-7897*326,-2574422,620181
-2664*42,-111888,619712
64080*137,8778960,619669
23985*168,4029480,618881
23985*57,1367145,618258
62131*38,2360978,618102
-2664*26,-69264,616749
-30520*215,-6561800,616747
-30520*57,-1739640,614955
64080*136,8714880,614724
-7897*210,-1658370,614573
-7897*327,-2582319,614126
64080*40,2563200,613657
-30520*45,-1373400,612048
-7897*328,-2590216,611762
-30520*43,-1312360,610681
-30520*216,-6592320,610478
64080*57,3652560,609821
47591*45,2141595,609813
51683*82,4238006,609655
64080*117,7497360,609357
51683*77,3979591,609012
-30520*47,-1434440,608931
-7897*209,-1650473,608489
64080*268,17173440,607621
-8262*45,-371790,606759
64080*270,17301600,606581
-30520*48,-1464960,604957
-7897*208,-1642576,604504
-30520*55,-1678600,604261
-30520*217,-6622840,603994
-30520*51,-1556520,603659
-7897*329,-2598113,603490
64080*134,8586720,603113
64080*132,8458560,602022
-2664*15,-39960,601762
64080*269,17237520,599714
64080*133,8522640,599176
-30520*54,-1648080,598966
9392*7,65744,598637
23985*58,1391130,598550
-7897*330,-2606010,598443
-2664*100,-266400,598340
41328*24,991872,597584
41328*44,1818432,597286
-8262*13,-107406,596553
-7897*207,-1634679,595733
63149*39,2462811,595415
-30520*52,-1587040,594685
41328*46,1901088,594670
-30520*53,-1617560,594601
47591*54,2569914,594588
47591*13,618683,593837
-30520*218,-6653360,593778
41328*160,6612480,593472
-7897*331,-2613907,592685
-7897*206,-1626782,592236
63149*9,568341,592078
23985*108,2590380,591885
62131*39,2423109,591487
31444*7,220108,591111
-7897*332,-2621804,589251
41328*70,2892960,588699
-30520*219,-6683880,588370
64080*129,8266320,587745
-7897*45,-355365,586701
64080*273,17493840,586558
64080*271,17365680,586136
-7897*205,-1618885,585666
-7897*204,-1610988,585537
64080*131,8394480,585414
-7897*46,-363262,584611
